title,price,review,link
Dyson V11 Absolute+ Vacuum Cleaner (Nickel/Blue),"RM3,399.00","(254)
Selangor",https://www.lazada.com.my/products/dyson-v11-absolute-vacuum-cleaner-nickelblue-i496872361-s3927108530.html?search=1
Dyson V8 Fluffy+ Vacuum Cleaner,"RM2,099.00","(928)
Selangor",https://www.lazada.com.my/products/dyson-v8-fluffy-vacuum-cleaner-i271809782-s352751244.html?search=1
Dyson Digital Slim Fluffy Extra (Purple & Iron) Cordless Vacuum Cleaner,"RM2,599.00","(5)
Selangor",https://www.lazada.com.my/products/dyson-digital-slim-fluffy-extra-purple-iron-cordless-vacuum-cleaner-i1411016130-s4497004852.html?search=1
Dyson V11 Absolute+ (Nickel & Blue) Cordless Vacuum Cleaner,"RM3,399.00",Selangor,https://www.lazada.com.my/products/dyson-v11-absolute-nickel-blue-cordless-vacuum-cleaner-i1335430810-s4133190699.html?search=1
Dyson Cyclone V10 Fluffy Vacuum Cleaner,"RM1,999.00","(941)
Selangor",https://www.lazada.com.my/products/dyson-cyclone-v10-fluffy-vacuum-cleaner-i422381825-s615267672.html?search=1
Dyson V8 Slim™ Fluffy+,"RM1,799.00","(4)
Malaysia",https://www.lazada.com.my/products/dyson-v8-slim-fluffy-i1108450349-s3106122554.html?search=1
Dyson SV18DSLIMFLUFFY Digital Slim™ Fluffy Extra Cordless Handheld Vacuum Cleaner (Purple/Iron) [2 years manufacturer warranty] 数码轻量无线吸尘机,"RM2,599.00","(10)
Pulau Pinang",https://www.lazada.com.my/products/dyson-sv18dslimfluffy-digital-slim-fluffy-extra-cordless-handheld-vacuum-cleaner-purpleiron-2-years-manufacturer-warranty-i1410450255-s4494374074.html?search=1
Dyson V8 Slim Fluffy+ Cordless Vacuum Cleaner,"RM1,799.00","(7)
Selangor",https://www.lazada.com.my/products/dyson-v8-slim-fluffy-cordless-vacuum-cleaner-i1410786301-s4496186282.html?search=1
Dyson V11 Absolute+ Vacuum,"RM3,399.00","(3)
Selangor",https://www.lazada.com.my/products/dyson-v11-absolute-vacuum-i1348068716-s4192478577.html?search=1
Dyson V11 Fluffy (Nickel & Red) Cordless Vacuum Cleaner,"RM2,899.00",Selangor,https://www.lazada.com.my/products/dyson-v11-fluffy-nickel-red-cordless-vacuum-cleaner-i1335376476-s4132594908.html?search=1
Dyson Cyclone V10 Absolute Vacuum Cleaner,"RM2,999.00","(126)
Selangor",https://www.lazada.com.my/products/dyson-cyclone-v10-absolute-vacuum-cleaner-i422374899-s615251524.html?search=1
Dyson V11 Fluffy DSN-V11FLUFFY(SWAP),"RM2,899.00","(1)
Malaysia",https://www.lazada.com.my/products/dyson-v11-fluffy-dsn-v11fluffyswap-i1491124904-s4924938784.html?search=1
Dyson V11 Fluffy DSN-V11FLUFFY(SWAP),"RM2,899.00","(1)
Selangor",https://www.lazada.com.my/products/dyson-v11-fluffy-dsn-v11fluffyswap-i1491194055-s4924944681.html?search=1
Dyson SV18DSLIMFLUFFY Digital Slim™ Fluffy Extra Vacuum Cleaner (Purple/Iron),"RM2,599.00","(1)
Pulau Pinang",https://www.lazada.com.my/products/dyson-sv18dslimfluffy-digital-slim-fluffy-extra-vacuum-cleaner-purpleiron-i1410456345-s4494370643.html?search=1
Dyson V8 Slim Fluffy+ Cordless Vacuum Cleaner,"RM1,799.00",Pulau Pinang,https://www.lazada.com.my/products/dyson-v8-slim-fluffy-cordless-vacuum-cleaner-i1103496024-s3087668502.html?search=1
Dyson V10 ABSOLUTE Cordless Vacuum Cleaner,"RM2,999.00","(4)
Federal Territory of Kuala Lumpur",https://www.lazada.com.my/products/dyson-v10-absolute-cordless-vacuum-cleaner-i452291477-s688804037.html?search=1
Dyson Cyclone V10 Absolute Vacuum Cleaner,"RM2,699.00","(2)
Malaysia",https://www.lazada.com.my/products/dyson-cyclone-v10-absolute-vacuum-cleaner-i880888619-s2169104975.html?search=1
Dyson V8 Slim Fluffy+ Vacuum Cleaner,"RM1,779.00","(2)
Selangor",https://www.lazada.com.my/products/dyson-v8-slim-fluffy-vacuum-cleaner-i1404326781-s4462874085.html?search=1
Dyson V8 Slim™ Fluffy+,"RM1,799.00","(2)
Selangor",https://www.lazada.com.my/products/dyson-v8-slim-fluffy-i1108438462-s3106062886.html?search=1
