title,price,review,link
Apple 12.9 Inch iPad Pro Wi‑Fi 128GB,"RM4,309.00","(34)
Selangor",https://www.lazada.com.my/products/apple-129-inch-ipad-pro-wifi-128gb-i896118380-s2215836800.html?search=1
Apple 12.9 Inch iPad Pro Wi‑Fi 256GB,"RM4,689.00","(18)
Selangor",https://www.lazada.com.my/products/apple-129-inch-ipad-pro-wifi-256gb-i896174373-s2215946416.html?search=1
Apple 11-inch iPad Pro Wi‑Fi 256GB,"RM3,949.00","(1)
Perak",https://www.lazada.com.my/products/apple-11-inch-ipad-pro-wifi-256gb-i1052774668-s2863236558.html?search=1
Apple 11-inch iPad Pro Wi‑Fi + Cellular 128GB,"RM4,149.00",Perak,https://www.lazada.com.my/products/apple-11-inch-ipad-pro-wifi-cellular-128gb-i1052852430-s2863470216.html?search=1
Apple 11-inch iPad Pro Wi‑Fi + Cellular 256GB,"RM4,599.00",Perak,https://www.lazada.com.my/products/apple-11-inch-ipad-pro-wifi-cellular-256gb-i1052870246-s2863462719.html?search=1
Apple 12.9-inch iPad Pro Wi‑Fi 128GB,"RM4,399.00","(2)
Perak",https://www.lazada.com.my/products/apple-129-inch-ipad-pro-wifi-128gb-i1052284100-s2860950647.html?search=1
iPad Pro 11-inch (2nd generation) Wi-Fi + Cellular,"RM4,149.00",Terengganu,https://www.lazada.com.my/products/ipad-pro-11-inch-2nd-generation-wi-fi-cellular-i1227990606-s3637496638.html?search=1
Apple 12.9-inch iPad Pro Wi-Fi + Cellular 128GB Storage,"RM5,049.00",Malaysia,https://www.lazada.com.my/products/apple-129-inch-ipad-pro-wi-fi-cellular-128gb-storage-i939900096-s2372334034.html?search=1
Apple 12.9-inch iPad Pro Wi-Fi 128GB - Space Grey,"RM4,399.00","(1)
Malaysia",https://www.lazada.com.my/products/apple-129-inch-ipad-pro-wi-fi-128gb-space-grey-i1208768747-s3556476055.html?search=1
Apple iPad Pro 12.9-inch Wi-Fi (2018),"RM4,999.00",Selangor,https://www.lazada.com.my/products/apple-ipad-pro-129-inch-wi-fi-2018-i442649757-s655726705.html?search=1
Apple iPad Pro 12.9-inch (Wi-Fi) (4th Generation),"RM4,399.00",Selangor,https://www.lazada.com.my/products/apple-ipad-pro-129-inch-wi-fi-4th-generation-i1263790972-s3800846021.html?search=1
Apple 12.9-inch iPad Pro Wi-Fi + Cellular 128GB Storage,"RM5,049.00",Selangor,https://www.lazada.com.my/products/apple-129-inch-ipad-pro-wi-fi-cellular-128gb-storage-i939896148-s2372328037.html?search=1
[2020] Apple iPad Pro 11-inch Wi‑Fi + Cellular 1TB,"RM6,399.00",Perak,https://www.lazada.com.my/products/2020-apple-ipad-pro-11-inch-wifi-cellular-1tb-i1052880256-s2863486537.html?search=1
Apple iPad Pro 10.5 Wi-Fi + Cellular 64GB,"RM2,799.00","(7)
Perak",https://www.lazada.com.my/products/apple-ipad-pro-105-wi-fi-cellular-64gb-i895786146-s2214804789.html?search=1
Apple 11-inch iPad Pro Wi‑Fi + Cellular 512GB,"RM5,499.00",Perak,https://www.lazada.com.my/products/apple-11-inch-ipad-pro-wifi-cellular-512gb-i1052808976-s2863450916.html?search=1
Apple 12.9-inch iPad Pro Wi-Fi 512GB - Silver,"RM5,749.00",Malaysia,https://www.lazada.com.my/products/apple-129-inch-ipad-pro-wi-fi-512gb-silver-i1211096464-s3563422990.html?search=1
"Apples 11"" iPad Pro Gen2 (Early 2020) (128GB / 256GB / 512GB / 1TB)","RM3,388.00","(5)
Federal Territory of Kuala Lumpur",https://www.lazada.com.my/products/apples-11-ipad-pro-gen2-early-2020-128gb-256gb-512gb-1tb-i1582856553-s5372326081.html?search=1
[2020] Apple iPad Pro 12.9-inch Wi‑Fi + Cellular 256GB,"RM5,499.00",Perak,https://www.lazada.com.my/products/2020-apple-ipad-pro-129-inch-wifi-cellular-256gb-i1052594607-s2862540088.html?search=1
iPad Pro 11-inch (2nd generation) Wi-Fi,"RM3,499.00","(1)
Terengganu",https://www.lazada.com.my/products/ipad-pro-11-inch-2nd-generation-wi-fi-i1121870934-s3163998222.html?search=1
"Apples 12.9"" iPad Pro Gen 4 (Early 2020) (128GB / 256GB / 512GB / 1TB)","RM4,249.00","(2)
Federal Territory of Kuala Lumpur",https://www.lazada.com.my/products/apples-129-ipad-pro-gen-4-early-2020-128gb-256gb-512gb-1tb-i1582928121-s5372714067.html?search=1
Apple 11-inch iPad Pro Wi-Fi 512GB - Space Grey,"RM4,849.00",Malaysia,https://www.lazada.com.my/products/apple-11-inch-ipad-pro-wi-fi-512gb-space-grey-i1208570755-s3555586982.html?search=1
