title,price,review,link
NESCAFE GOLD Original 200g,RM27.90,"(1664)
Selangor",https://www.lazada.com.my/products/nescafe-gold-original-200g-i471402668-s768566122.html?search=1
NESCAFE GOLD Dark Latte 12x34g,RM10.50,"(360)
Selangor",https://www.lazada.com.my/products/nescafe-gold-dark-latte-12x34g-i1399984315-s4440514398.html?search=1
NESCAFE GOLD ORIGINS ALTA RICA Coffee Jar 100g,RM19.50,"(603)
Selangor",https://www.lazada.com.my/products/nescafe-gold-origins-alta-rica-coffee-jar-100g-i808382206-s1883728253.html?search=1
SHOPPA Nescafe Gold Refill Pack - Rich & Smooth | 170g x 2,RM44.00,"(117)
Selangor",https://www.lazada.com.my/products/shoppa-nescafe-gold-refill-pack-rich-smooth-170g-x-2-i1038312914-s2803196180.html?search=1
[READY STOCK] Nestle Nescafe Gold Blend Refill 170g,RM21.90,"(58)
Malaysia",https://www.lazada.com.my/products/ready-stock-nestle-nescafe-gold-blend-refill-170g-i1411674562-s4500670155.html?search=1
Nescafe Gold Refill Packs (170g x 2 Packs),RM44.00,Malaysia,https://www.lazada.com.my/products/nescafe-gold-refill-packs-170g-x-2-packs-i1703240057-s6462280140.html?search=1
NESCAFE GOLD Original 200g,RM28.50,"(4)
Pulau Pinang",https://www.lazada.com.my/products/nescafe-gold-original-200g-i1582178757-s5368634817.html?search=1
Nescafé Gold Crema Smooth & Finest 100g - Snacks.MY,RM38.00,Malaysia,https://www.lazada.com.my/products/nescafe-gold-crema-smooth-finest-100g-snacksmy-i1591870814-s5418630055.html?search=1
"Nescafe Gold Espresso Italian Style Rich with Crema, 100 g Made in UK",RM45.00,"(1)
Malaysia",https://www.lazada.com.my/products/nescafe-gold-espresso-italian-style-rich-with-crema-100-g-made-in-uk-i1435680217-s4636518310.html?search=1
NESCAFE Gold Decaf Jar 100g,RM21.50,"(1)
Malaysia",https://www.lazada.com.my/products/nescafe-gold-decaf-jar-100g-i1422198750-s4560268459.html?search=1
Nescafe Gold Refill Pack - 170G,RM21.50,"(119)
Malaysia",https://www.lazada.com.my/products/nescafe-gold-refill-pack-170g-i1132424475-s3210902542.html?search=1
Nescafe Gold Blend Refill Pack (170g),RM25.40,"(1)
Malaysia",https://www.lazada.com.my/products/nescafe-gold-blend-refill-pack-170g-i1497814392-s4959894747.html?search=1
[EXPIRY 2021/2022] NESCAFE GOLD Refill Pack 170g,RM24.99,Malaysia,https://www.lazada.com.my/products/expiry-20212022-nescafe-gold-refill-pack-170g-i1651366888-s5746098479.html?search=1
Nescafe Gold Coffee Refill 170g,RM26.80,"(1)
Malaysia",https://www.lazada.com.my/products/nescafe-gold-coffee-refill-170g-i1422250466-s4560308531.html?search=1
NESCAFE GOLD Refill 170g x2 ( Exp : 2022 Jan ),RM49.00,"(80)
Malaysia",https://www.lazada.com.my/products/nescafe-gold-refill-170g-x2-exp-2022-jan-i966178137-s2492400709.html?search=1
NESCAFE GOLD Refill 170g x 2,RM49.99,Malaysia,https://www.lazada.com.my/products/nescafe-gold-refill-170g-x-2-i1755492688-s6826420566.html?search=1
Nescafe Gold Americano 2 x 12g,RM3.00,"(1)
Federal Territory of Kuala Lumpur",https://www.lazada.com.my/products/nescafe-gold-americano-2-x-12g-i1777858884-s6982676145.html?search=1
Nescafe Gold Decaf 100gm,RM21.30,"(2)
Malaysia",https://www.lazada.com.my/products/nescafe-gold-decaf-100gm-i1497870055-s4960118893.html?search=1
