title,price,review,link
12.12 Nintendo Switch lite console Brand new Original,RM914.00,"(10)
Japan",https://www.lazada.com.my/products/1212-nintendo-switch-lite-console-brand-new-original-i957030709-s2450406816.html?search=1
NS Lite Coral Pink (Nintendo Switch Lite) Free Pouch + Tempered Glass + Thumb Grips Maxsoft / Supplier Warranty,RM899.00,"(33)
Selangor",https://www.lazada.com.my/products/ns-lite-coral-pink-nintendo-switch-lite-free-pouch-tempered-glass-thumb-grips-maxsoft-supplier-warranty-i884336641-s2178754362.html?search=1
Nintendo Switch Lite [FOC 1 Tempered Glass],RM899.00,"(86)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-foc-1-tempered-glass-i799348340-s2471152569.html?search=1
Nintendo Switch Lite Grey / Yellow / Turquoise + Pouch + Tempered Glass (1 Year Maxsoft Malaysia Warranty) NS Lite Gray Green,RM929.00,"(6)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-grey-yellow-turquoise-pouch-tempered-glass-1-year-maxsoft-malaysia-warranty-ns-lite-gray-green-i703184011-s1527550187.html?search=1
Nintendo Switch Lite Console - Japan set - Coral - Yellow / Turquoise / Grey / Pokemon - New - 1 Year Supplier Warranty,RM949.00,"(12)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-console-japan-set-coral-yellow-turquoise-grey-pokemon-new-1-year-supplier-warranty-i962690133-s2901826125.html?search=1
Nintendo Switch Lite Zacian & Zamazenta Limited Edition (1 Year Maxsoft Malaysia Warranty) NS Pokemon Sword & Shield,RM929.00,"(39)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-zacian-zamazenta-limited-edition-1-year-maxsoft-malaysia-warranty-ns-pokemon-sword-shield-i606214957-s1240476626.html?search=1
Nintendo Switch Lite Console (Supplier Warranty) + Tempered Glass + Analog Cap,RM899.00,"(173)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-console-supplier-warranty-tempered-glass-analog-cap-i584190476-s2252386687.html?search=1
Limited Time Special Nintendo Switch lite console Brand new Original,RM886.27,China,https://www.lazada.com.my/products/limited-time-special-nintendo-switch-lite-console-brand-new-original-i1605822519-s5485626680.html?search=1
Nintendo Switch Lite Version Matte Clear Soft TPU Protective Case NSL Portable handheld game console Casing Black Blue Red Button,RM18.65,China,https://www.lazada.com.my/products/nintendo-switch-lite-version-matte-clear-soft-tpu-protective-case-nsl-portable-handheld-game-console-casing-black-blue-red-button-i1711458636-s6508100264.html?search=1
Nintendo Switch Lite Zacian and Zamacenta Edition FOC 1 tempered glass,RM929.00,"(38)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-zacian-and-zamacenta-edition-foc-1-tempered-glass-i799382039-s5125940147.html?search=1
Nintendo Switch Lite Yellow Free Porch + tempered glass - 1 year Maxsoft warranty,"RM1,099.00",Selangor,https://www.lazada.com.my/products/nintendo-switch-lite-yellow-free-porch-tempered-glass-1-year-maxsoft-warranty-i809404032-s1887128739.html?search=1
Nintendo Switch Lite (Yellow / Gray / Turquoise),"RM1,055.50","(14)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-yellow-gray-turquoise-i712508201-s1557954668.html?search=1
Nintendo Switch Lite(Grey/Turquoise/Yellow/Coral pink/Zacian & Zamazenta)(1Year Maxsoft Warranty),RM949.00,Malaysia,https://www.lazada.com.my/products/nintendo-switch-litegreyturquoiseyellowcoral-pinkzacian-zamazenta1year-maxsoft-warranty-i1114040423-s3846188116.html?search=1
Nintendo Switch Lite (1 YEAR SUPPLIER WARRANTY),RM919.00,"(8)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-1-year-supplier-warranty-i910114692-s2442022021.html?search=1
Nintendo Switch Lite Console Pink ( Coral Pink ) (Maxsoft 1 Year Warranty) FOC Screen protector,"RM1,199.00","(9)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-console-pink-coral-pink-maxsoft-1-year-warranty-foc-screen-protector-i898964488-s2223842988.html?search=1
Nintendo Switch Lite Console Coral Pink with overcooked (Maxsoft 1 year Warranty) Foc Tempered Glass,"RM1,199.00",Selangor,https://www.lazada.com.my/products/nintendo-switch-lite-console-coral-pink-with-overcooked-maxsoft-1-year-warranty-foc-tempered-glass-i991114572-s2610674096.html?search=1
Nintendo Switch Lite Console (Local Supplier Warranty),RM999.00,Selangor,https://www.lazada.com.my/products/nintendo-switch-lite-console-local-supplier-warranty-i1364510299-s4265614788.html?search=1
Nintendo Switch Lite Console Yellow Maxsoft One year Warranty Foc t/glass,"RM1,099.00",Selangor,https://www.lazada.com.my/products/nintendo-switch-lite-console-yellow-maxsoft-one-year-warranty-foc-tglass-i1061248169-s2897734778.html?search=1
Nintendo Switch Lite Zacian & Zamazenta Limited Edition (1 Year Supplier Warranty) NS Pokemon Sword & Shield,RM959.00,"(17)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-zacian-zamazenta-limited-edition-1-year-supplier-warranty-ns-pokemon-sword-shield-i889230010-s2194496647.html?search=1
for Switch Game Console Bracket and Nintendo Switch Lite Universal Game Console Bracket,RM7.74,"(2)
China",https://www.lazada.com.my/products/for-switch-game-console-bracket-and-nintendo-switch-lite-universal-game-console-bracket-i1499384746-s4966982881.html?search=1
Nintendo Switch Lite (Grey / Turquoise / Yellow) Supplier Warranty,"RM1,199.00",Malaysia,https://www.lazada.com.my/products/nintendo-switch-lite-grey-turquoise-yellow-supplier-warranty-i1146950689-s3275198598.html?search=1
NINTENDO SWITCH LITE (GRAY),RM888.00,Federal Territory of Kuala Lumpur,https://www.lazada.com.my/products/nintendo-switch-lite-gray-i1061004319-s2896676175.html?search=1
[Nintendo Berlesen Rasmi Produk-Produk] Nintendo Suis Lite Khusus Pouch Merasakan Pouch untuk Nintendo Switch Lite Kelabu -Suis,RM94.00,Japan,https://www.lazada.com.my/products/nintendo-berlesen-rasmi-produk-produk-nintendo-suis-lite-khusus-pouch-merasakan-pouch-untuk-nintendo-switch-lite-kelabu-suis-i1449898067-s4702302066.html?search=1
[Amorus Pengawal] untuk Nintendo Switch Pro/Suis Lite Konsol Suis Tanpa Wayar Pengawal Gamepad Pengawal Jauh,RM49.90,"(1)
China",https://www.lazada.com.my/products/amorus-pengawal-untuk-nintendo-switch-prosuis-lite-konsol-suis-tanpa-wayar-pengawal-gamepad-pengawal-jauh-i1350284169-s4202212304.html?search=1
Suis Nintendo Lite untuk Watak Eva Pouch untuk Nintendo Switch Lite Berehat Di Mana-Mana Masa Bersama-Sama♪Berehat -Suis,RM142.00,Japan,https://www.lazada.com.my/products/suis-nintendo-lite-untuk-watak-eva-pouch-untuk-nintendo-switch-lite-berehat-di-mana-mana-masa-bersama-samaberehat-suis-i1449814569-s4702262403.html?search=1
[Nintendo Berlesen Rasmi Produk-Produk] Nintendo Suis Lite Khusus Pouch Eva Pouch untuk Nintendo Switch Lite (Hitam) -Suis,RM89.00,Japan,https://www.lazada.com.my/products/nintendo-berlesen-rasmi-produk-produk-nintendo-suis-lite-khusus-pouch-eva-pouch-untuk-nintendo-switch-lite-hitam-suis-i1333762194-s4126190285.html?search=1
[Nintendo Berlesen Produk-Produk] Nintendo Suis Lite untuk Watak Eva Pouch untuk Nintendo Switch Lite Sudut Gurashi (Saya Bertemu Kucing Saudara) -Suis,RM111.00,Japan,https://www.lazada.com.my/products/nintendo-berlesen-produk-produk-nintendo-suis-lite-untuk-watak-eva-pouch-untuk-nintendo-switch-lite-sudut-gurashi-saya-bertemu-kucing-saudara-suis-i1333702711-s4126230040.html?search=1
[Nintendo Berlesen Rasmi Produk-Produk] Nintendo Suis Lite Khusus Pouch Lembut Pouch untuk Nintendo Switch Lite (Turquoise) -Suis,RM67.00,Japan,https://www.lazada.com.my/products/nintendo-berlesen-rasmi-produk-produk-nintendo-suis-lite-khusus-pouch-lembut-pouch-untuk-nintendo-switch-lite-turquoise-suis-i1333778120-s4126148817.html?search=1
[Nintendo Berlesen Produk-Produk] Nintendo Suis Lite untuk Watak Eva Pouch untuk Nintendo Switch Lite Sudut Gurashi (Penggunaan Ekor Udang Terbang) -Suis,RM154.00,Japan,https://www.lazada.com.my/products/nintendo-berlesen-produk-produk-nintendo-suis-lite-untuk-watak-eva-pouch-untuk-nintendo-switch-lite-sudut-gurashi-penggunaan-ekor-udang-terbang-suis-i1333770132-s4126234077.html?search=1
Nintendo Switch Lite (Grey) (EU Set),RM949.00,"(10)
Federal Territory of Kuala Lumpur",https://www.lazada.com.my/products/nintendo-switch-lite-grey-eu-set-i695376545-s1505962103.html?search=1
Nintendo Carrying Case (Official Product) For Nintendo Switch Lite NSL,RM86.90,Selangor,https://www.lazada.com.my/products/nintendo-carrying-case-official-product-for-nintendo-switch-lite-nsl-i971626629-s2518030924.html?search=1
Nintendo Switch Lite [Gray],"RM1,137.81",Hong Kong SAR China,https://www.lazada.com.my/products/nintendo-switch-lite-gray-i1553306832-s5220986889.html?search=1
Nintendo Switch Lite Yellow [1 Year Official Maxsoft Warranty] [FOC 1 Tempered Glass],RM959.00,"(1)
Selangor",https://www.lazada.com.my/products/nintendo-switch-lite-yellow-1-year-official-maxsoft-warranty-foc-1-tempered-glass-i1085678115-s3005046797.html?search=1
Nintendo switch Lite (pokemon Zaclan & Zamazenta) Japan Edition,RM999.00,Malaysia,https://www.lazada.com.my/products/nintendo-switch-lite-pokemon-zaclan-zamazenta-japan-edition-i941130532-s2378162912.html?search=1
[Nintendo Berlesen Produk-Produk] Nintendo Suis Lite untuk Watak Lembut Pouch untuk Nintendo Switch Lite Sudut Gurashi (Saya Bertemu Kucing Saudara) -Suis,RM144.00,Japan,https://www.lazada.com.my/products/nintendo-berlesen-produk-produk-nintendo-suis-lite-untuk-watak-lembut-pouch-untuk-nintendo-switch-lite-sudut-gurashi-saya-bertemu-kucing-saudara-suis-i1383426463-s4349588414.html?search=1
[Nintendo Berlesen Rasmi Produk-Produk] Nintendo Suis Lite Khusus Pouch Merasakan Pouch untuk Nintendo Switch Lite (Kelabu) -Suis,RM94.00,Japan,https://www.lazada.com.my/products/nintendo-berlesen-rasmi-produk-produk-nintendo-suis-lite-khusus-pouch-merasakan-pouch-untuk-nintendo-switch-lite-kelabu-suis-i1383400689-s4349630182.html?search=1
[Nintendo Berlesen Rasmi Produk-Produk] Nintendo Suis Lite Khusus Pouch Lembut Pouch untuk Nintendo Switch Lite (Kuning) -Suis,RM127.00,Japan,https://www.lazada.com.my/products/nintendo-berlesen-rasmi-produk-produk-nintendo-suis-lite-khusus-pouch-lembut-pouch-untuk-nintendo-switch-lite-kuning-suis-i1333732484-s4126194354.html?search=1
Sacoche Bag for Nintendo Switch Lite (Pokemon Sword and Shield) [Official],RM201.90,Selangor,https://www.lazada.com.my/products/sacoche-bag-for-nintendo-switch-lite-pokemon-sword-and-shield-official-i971636542-s2518074480.html?search=1
Nintendo Switch Lite Console (Full Sets) (Jailbreak Set),"RM1,699.00",Selangor,https://www.lazada.com.my/products/nintendo-switch-lite-console-full-sets-jailbreak-set-i1175680694-s3409226613.html?search=1
Pokemon Quick Pouch - Poke Ball (Official Product) For Nintendo Switch Lite NS,RM117.50,Selangor,https://www.lazada.com.my/products/pokemon-quick-pouch-poke-ball-official-product-for-nintendo-switch-lite-ns-i971638494-s2518038684.html?search=1
